"tissue_number","POP","Latitude","Longitude","distance","mean_annual_temp_deg_C","mean_temp__warmest_month_deg_C","mean_temp_coldest_month_deg_C","difference_coldest_and_warmest_month_measure_continentality_deg_C","mean_annual_precip_mm","mean_summer_precip_mm","annual_heat_moisture_index","summer_heat_moisture_index","degree.days_above_5_deg_C","degree.days_below_18_deg_C","degree.days_above_18_deg_C","NFFD","extreme_min_temp_over_30_years","Hargreave_reference_evaporation","Hargreave_climatic_moisture_index","percent_pine","percent_oak","percent_other"
"F10-30","C-O",33.987986,-119.716979,3413.266523,17.5,21.3,14,7.3,467,14,58.9,1563.9,4610,614,411,365,3.6,956,640,0,0.643088258387167,0.356911741612833
"F10-42","C-O",33.969668,-119.727573,5652.99602,17.1,20.8,13.6,7.2,444,13,61,1653.9,4462,696,362,365,2.2,968,657,0,0.312063139565184,0.687936860434816
"F10-44","C-O",33.968839,-119.74052,6248.805984,17.1,20.8,13.7,7.1,446,13,60.8,1644.9,4468,693,364,365,2.3,965,655,0,0.896418341328501,0.103581658671499
"F10-62","C-O",33.975842,-119.723139,4870.333471,17.2,20.9,13.8,7.1,452,13,60.2,1615.8,4510,669,378,365,2.7,964,651,0,0.481874987301119,0.518125012698881
"F10-64","C-O",33.975851,-119.723139,4869.394531,17.2,20.9,13.8,7.1,452,13,60.2,1615.7,4510,669,378,365,2.7,964,651,0,0.481693846763953,0.518306153236047
"F10-89","C-O",33.995834,-119.716389,2571.485169,17.7,21.5,14.2,7.3,477,14,58.1,1525,4677,579,434,365,4.3,950,631,0,0.169410959993273,0.830589040006727
"F10-98","C-O",33.974921,-119.726854,5085.138085,17.2,20.9,13.8,7.1,452,13,60.2,1617.6,4506,671,376,365,2.7,964,651,0,0.383714213393532,0.616285786606468
"F09-4","C-O",34.002045,-119.740933,3329.992111,17.8,21.6,14.3,7.3,497,15,55.9,1453.5,4722,563,451,365,4.9,929,605,0,0.489753846014521,0.510246153985479
"F09-74","C-O",33.997168,-119.734276,3261.337229,17.7,21.5,14.3,7.2,489,15,56.6,1476.7,4700,571,442,365,4.6,937,615,0,0.643730718940164,0.356269281059837
"F10-12","C-O",33.998927,-119.734245,3110.245406,17.8,21.6,14.3,7.3,492,15,56.5,1471.3,4714,565,448,365,4.8,935,612,0,0.574959114893676,0.425040885106324
"F10-154","C-O",33.998432,-119.731751,3006.931716,17.7,21.6,14.3,7.3,490,15,56.5,1480.3,4709,567,445,365,4.7,937,615,0,0.437169991766397,0.562830008233603
"F10-156","C-O",33.999022,-119.733999,3087.307521,17.8,21.6,14.3,7.3,492,15,56.5,1472.5,4715,565,448,365,4.8,935,612,0,0.56654862908164,0.43345137091836
"F10-167","C-O",34.003149,-119.73976,3169.993393,17.8,21.6,14.3,7.3,496,15,56,1458.5,4718,564,449,365,4.9,930,607,0,0.429391106657627,0.570608893342373
"F10-169","C-O",34.003149,-119.73976,3169.993393,17.8,21.6,14.3,7.3,496,15,56,1458.5,4718,564,449,365,4.9,930,607,0,0.429391106657627,0.570608893342373
"F10-177","C-O",34.000116,-119.73752,3225.742068,17.8,21.6,14.3,7.3,496,15,56,1457.9,4725,561,452,365,4.9,931,607,0,0.529805859544505,0.470194140455495
"F10-22","C-O",33.995537,-119.728541,3113.188333,17.7,21.5,14.2,7.3,483,14,57.3,1500.5,4682,578,436,365,4.4,942,622,0,0.554020805217322,0.445979194782678
"F10-25","C-O",33.995528,-119.728552,3114.559339,17.7,21.5,14.2,7.3,483,14,57.3,1500.6,4682,578,436,365,4.4,942,622,0,0.555744773902857,0.444255226097143
"F10-28","C-O",33.995528,-119.728552,3114.559339,17.7,21.5,14.2,7.3,483,14,57.3,1500.6,4682,578,436,365,4.4,942,622,0,0.555744773902857,0.444255226097143
"F10-41","C-O",33.999176,-119.736819,3252.110491,17.8,21.6,14.3,7.3,494,15,56.3,1465,4718,564,449,365,4.8,933,609,0,0.580868831197471,0.419131168802529
"F10-76","C-O",34.000998,-119.740016,3334.841038,17.8,21.6,14.3,7.3,497,15,55.9,1453.8,4724,562,451,365,4.9,930,606,0,0.53947850617968,0.46052149382032
"F10-77","C-O",34.000998,-119.740016,3334.841038,17.8,21.6,14.3,7.3,497,15,55.9,1453.8,4724,562,451,365,4.9,930,606,0,0.53947850617968,0.46052149382032
"F10-78","C-O",34.000998,-119.740016,3334.841038,17.8,21.6,14.3,7.3,497,15,55.9,1453.8,4724,562,451,365,4.9,930,606,0,0.53947850617968,0.46052149382032
"F10-86","C-O",34.001559,-119.735033,2948.832875,17.8,21.6,14.3,7.3,494,15,56.3,1467.1,4719,563,449,365,4.8,933,610,0,0.517244557528766,0.482755442471234
"F10-87","C-O",34.001559,-119.735033,2948.832875,17.8,21.6,14.3,7.3,494,15,56.3,1467.1,4719,563,449,365,4.8,933,610,0,0.517244557528766,0.482755442471234
"F11-163","C-O",33.995641,-119.728772,3113.72649,17.7,21.5,14.2,7.3,484,14,57.2,1499.3,4683,578,436,365,4.4,942,621,0,0.555010936540504,0.444989063459496
"F11-164","C-O",33.995641,-119.728772,3113.72649,17.7,21.5,14.2,7.3,484,14,57.2,1499.3,4683,578,436,365,4.4,942,621,0,0.555010936540504,0.444989063459496
"F09-23","C-O",33.988024,-119.676655,3422.841126,17.5,21.3,14.1,7.2,477,14,57.7,1515.4,4638,597,418,365,3.8,960,640,0,0.227784095621085,0.772215904378915
"F09-24","C-O",33.988024,-119.676655,3422.841126,17.5,21.3,14.1,7.2,477,14,57.7,1515.4,4638,597,418,365,3.8,960,640,0,0.227784095621085,0.772215904378915
"F09-82","C-O",34.008769,-119.688976,858.0300286,17.7,21.5,14.2,7.3,477,14,58.1,1532.6,4679,577,432,365,4.4,951,632,0,0.692605745634145,0.307394254365855
"F10-13","C-O",34.01739,-119.683499,566.3707035,17.5,21.3,14.2,7.1,466,13,59,1578,4637,596,417,365,4,955,639,0,0.33182221122843,0.66817778877157
"F10-138","C-O",34.017892,-119.682812,625.4772194,17.5,21.3,14.1,7.2,466,13,59,1581.4,4635,597,416,365,4,955,640,0,0.2907236045355,0.7092763954645
"F10-14","C-O",34.017484,-119.683329,580.7723434,17.5,21.3,14.2,7.1,466,13,59,1578.6,4637,596,417,365,4,955,639,0,0.321904264025736,0.678095735974264
"F11-087","C-O",33.998929,-119.682561,2095.40391,17.8,21.6,14.3,7.3,492,15,56.5,1463.3,4720,561,447,365,4.7,949,624,0,0.566972455691012,0.433027544308988
"F11-118","C-O",33.986982,-119.688441,3240.399724,17.5,21.3,14.1,7.2,470,14,58.5,1547.4,4616,609,412,365,3.6,962,643,0,0.869688042422414,0.130311957577586
"F11-133","C-O",34.01737,-119.683585,558.7829968,17.5,21.3,14.2,7.1,466,13,59,1577.9,4637,596,417,365,4,955,639,0,0.339418751102911,0.660581248897089
"F09-10","C-O",33.971079,-119.722118,5343.795449,17.1,20.8,13.7,7.1,445,13,60.9,1649.1,4469,692,364,365,2.3,968,657,0,0.377987248816083,0.622012751183917
"F09-115","C-O",33.976588,-119.716804,4619.176788,17.2,20.9,13.8,7.1,451,13,60.3,1619.8,4511,668,378,365,2.7,966,653,0,0.639368327908762,0.360631672091238
"F09-27","C-O",33.974066,-119.717867,4914.870223,17.1,20.9,13.7,7.2,448,13,60.5,1638.3,4490,680,371,365,2.5,967,655,0,0.637948490087023,0.362051509912977
"F09-44","C-O",33.977216,-119.718918,4605.318512,17.2,20.9,13.8,7.1,453,13,60,1611.4,4518,664,380,365,2.8,964,651,0,0.60545005144212,0.39454994855788
"F09-47","C-O",33.974335,-119.721837,4992.811447,17.1,20.9,13.7,7.2,449,13,60.4,1630.1,4496,677,373,365,2.6,966,654,0,0.685909924135465,0.314090075864535
"F10-162","C-O",33.976406,-119.720052,4722.536469,17.2,20.9,13.8,7.1,452,13,60.2,1616.1,4512,668,378,365,2.7,965,652,0,0.610452121153919,0.389547878846081
"F10-163","C-O",33.976461,-119.720042,4716.546614,17.2,20.9,13.8,7.1,452,13,60.2,1615.6,4513,667,378,365,2.7,965,652,0,0.605880756839375,0.394119243160625
"F10-165","C-O",33.976479,-119.720032,4714.327553,17.2,20.9,13.8,7.1,452,13,60.2,1615.5,4513,667,379,365,2.7,965,652,0,0.604458493519505,0.395541506480495
"F10-166","C-O",33.976488,-119.720032,4713.384878,17.2,20.9,13.8,7.1,452,13,60.2,1615.4,4513,667,379,365,2.7,965,652,0,0.603587843164892,0.396412156835108
"F10-31","C-O",33.98669,-119.713637,3460.673286,17.4,21.2,14,7.2,463,13,59.2,1572.4,4596,621,406,365,3.5,959,644,0,0.52473440652964,0.47526559347036
"F10-33","C-O",33.986762,-119.710382,3390.237253,17.4,21.2,14,7.2,462,13,59.3,1578.4,4594,622,405,365,3.5,961,645,0,0.624293521572144,0.375706478427856
"F10-65","C-O",33.976525,-119.717934,4653.18873,17.2,20.9,13.8,7.1,451,13,60.3,1618.5,4511,668,378,365,2.7,965,653,0,0.660452583700876,0.339547416299124
"F10-66","C-O",33.976552,-119.717957,4650.917102,17.2,20.9,13.8,7.1,451,13,60.3,1618.2,4512,668,378,365,2.7,965,653,0,0.657927498122401,0.342072501877599
"F11-017","C-O",33.987162,-119.713879,3415.672848,17.4,21.2,14,7.2,464,14,59.1,1568.6,4600,619,407,365,3.5,959,643,0,0.5889924675426,0.4110075324574
"F11-070","E-P",34.016393,-119.60371,0,17.5,21.4,14,7.4,469,13,58.6,1645.6,4623,607,423,365,3.8,955,642,0.177530268899441,0.583185019316568,0.239284711783991
"F09-132","E-P",34.000157,-119.623608,166.7765647,17.8,21.7,14.3,7.4,505,14,55,1524,4743,554,456,365,4.1,948,630,0.0273038035204044,0.470845449193806,0.50185074728579
"F11-077","E-P",34.00211,-119.623321,10.35370425,17.8,21.7,14.3,7.4,501,14,55.5,1538.9,4735,557,453,365,4.1,949,630,0.0375191196099078,0.422691223053576,0.539789657336516
"F11-141","E-P",34.002153,-119.624286,63.6519355,17.8,21.7,14.3,7.4,501,14,55.5,1536.3,4737,556,454,365,4.1,949,630,0.0375191196098703,0.452302125497748,0.510178754892382
"F09-69","E-P",34.001085,-119.618559,0,17.8,21.7,14.3,7.4,499,14,55.7,1546.6,4726,561,452,365,4.1,949,631,0.116930087310344,0.460870582490173,0.422199330199482
"F09-86","E-P",34.000285,-119.615039,42.29753878,17.8,21.6,14.2,7.4,497,14,55.9,1545.8,4721,564,451,365,4.1,949,631,0.123835146577556,0.445415511966072,0.430749341456372
"F09-138","E-P",33.991543,-119.600884,242.0649642,17.5,21.4,14,7.4,471,13,58.4,1615.6,4625,606,422,365,3.7,956,641,0.0152066585941657,0.381535083935581,0.603258257470253
"F09-139","E-P",33.991339,-119.602404,260.4559977,17.5,21.4,14,7.4,472,13,58.3,1612.5,4627,604,422,365,3.6,956,641,0.0254264010314325,0.312445283033682,0.662128315934886
"F09-141","E-P",33.991321,-119.602404,262.3970884,17.5,21.4,14,7.4,472,13,58.3,1612.6,4627,604,422,365,3.6,956,641,0.0249589543397708,0.311408179559366,0.663632866100863
"F11-067","W-P",34.017199,-119.831443,0,17.8,21.8,14.1,7.7,515,15,54,1419.5,4728,576,474,365,5,939,615,0.103068767110426,0.692876626916901,0.204054605972673
"F11-122","W-P",34.016979,-119.830039,60.05276268,17.8,21.8,14.1,7.7,515,15,54,1419.3,4728,576,473,365,5,939,615,0.0547457355472009,0.760219753902475,0.185034510550324
"F09-35","W-P",34.016232,-119.806793,0,17.8,21.8,14.2,7.6,521,16,53.4,1404.7,4741,567,471,365,5.2,931,606,0.358816360976782,0.331617514702884,0.309566124320334
"F09-64","W-P",34.016484,-119.806,0,17.8,21.8,14.2,7.6,521,16,53.4,1403.4,4741,567,471,365,5.2,931,605,0.342656575375452,0.283991840967953,0.373351583656595
"F09-65","W-P",34.016465,-119.806032,0,17.8,21.8,14.2,7.6,521,16,53.4,1403.5,4741,567,471,365,5.2,931,605,0.34508094415781,0.285860088901401,0.369058966940789
"F10-53","W-P",34.016679,-119.810088,0,17.8,21.8,14.2,7.6,520,16,53.5,1405.9,4739,568,472,365,5.2,932,607,0.29918066408,0.350798543047966,0.350020792872034
"F11-060","W-P",34.016693,-119.812253,9.594364821,17.8,21.8,14.2,7.6,519,15,53.6,1407.4,4738,569,472,365,5.1,933,608,0.298367420326187,0.395568273090964,0.306064306582849
"F11-061","W-P",34.016755,-119.81231,18.17282311,17.8,21.8,14.2,7.6,519,15,53.6,1407.3,4738,569,472,365,5.1,933,608,0.295498879148569,0.391058124194209,0.313442996657223
"F09-108","W-P",34.015287,-119.806718,0,17.8,21.8,14.2,7.6,520,15,53.5,1407.2,4741,567,471,365,5.2,931,606,0.479758906826527,0.339642043151825,0.180599050021649
"F09-28","W-P",34.015355,-119.806082,0,17.8,21.8,14.2,7.6,520,15,53.5,1406.5,4741,567,471,365,5.2,931,606,0.475742067406326,0.318187788902185,0.206070143691489
"F11-027","W-P",34.009726,-119.812954,0,17.8,21.8,14.2,7.6,514,15,54.1,1428.8,4735,569,469,365,5.1,932,609,0.830304611088795,0.137728150656896,0.0319672382543087
"F11-100","W-P",34.009797,-119.813011,0,17.8,21.8,14.2,7.6,514,15,54.1,1428.6,4735,569,469,365,5.1,932,609,0.831630271787314,0.136493387713481,0.0318763404992046
"F09-21","W-P",34.015278,-119.7975,21.94992334,17.8,21.8,14.2,7.6,522,16,53.3,1400,4746,563,471,365,5.2,928,602,0.397195869158738,0.0431840949712756,0.559620035869986
"F11-058","W-P",34.015789,-119.800099,87.77225579,17.8,21.8,14.2,7.6,522,16,53.3,1400.8,4744,564,471,365,5.2,929,603,0.340550896619179,0.119346065644148,0.540103037736673
"F11-059","W-P",34.015798,-119.800121,88.85670784,17.8,21.8,14.2,7.6,522,16,53.3,1400.8,4744,564,471,365,5.2,929,603,0.339546880664904,0.120063145777086,0.54038997355801
"F10-36","W-P",34.014835,-119.797264,6.391099827,17.8,21.8,14.2,7.6,522,16,53.3,1400.8,4746,563,471,365,5.2,928,602,0.426782538587026,0.0301844415374327,0.543033019875542
"F10-39","W-P",34.014835,-119.797264,6.391099827,17.8,21.8,14.2,7.6,522,16,53.3,1400.8,4746,563,471,365,5.2,928,602,0.426782538587026,0.0301844415374327,0.543033019875542
"F10-54","W-P",34.013563,-119.819425,18.38066014,17.8,21.8,14.2,7.6,515,15,54,1422.9,4732,572,471,365,5.1,935,611,0.713624717726258,0.280484667226359,0.0058906150473828
"F09-56","W-P",34.013159,-119.79723,0,17.8,21.8,14.2,7.6,522,16,53.3,1404.5,4747,562,471,365,5.2,927,602,0.429500064778677,0.102918944053411,0.467580991167911
"F10-84","W-P",34.012721,-119.797854,11.73557373,17.8,21.8,14.2,7.6,521,16,53.4,1406,4747,562,471,365,5.2,928,602,0.463892156050889,0.101246679646352,0.434861164302759
"F10-85","W-P",34.012721,-119.797865,12.39012076,17.8,21.8,14.2,7.6,521,16,53.4,1406.1,4747,562,471,365,5.2,928,602,0.464897827599038,0.10103999190623,0.434062180494733
"F10-57","W-P",34.013556,-119.818926,0,17.8,21.8,14.2,7.6,515,15,54,1422.5,4732,572,471,365,5.1,935,611,0.718806015400154,0.264809881854875,0.0163841027449709
"F09-112","W-P",34.011706,-119.796122,12.6307,17.9,21.8,14.2,7.6,521,15,53.6,1406.7,4749,561,470,365,5.2,927,602,0.239656436212571,0.234388477631264,0.525955086156166
"F09-76","W-P",34.012819,-119.797122,10.14335796,17.8,21.8,14.2,7.6,521,16,53.4,1405.2,4747,562,471,365,5.2,927,602,0.404439004279676,0.134971971830925,0.460589023889399
"F11-097","W-P",34.008182,-119.811096,0,17.8,21.8,14.2,7.6,514,15,54.1,1431.4,4736,568,469,365,5.1,932,608,0.615592858630147,0.202983530474533,0.18142361089532
"F10-108","C-P",34.028782,-119.703792,0,17.4,21.1,14,7.1,447,13,61.3,1669.9,4571,633,396,365,3.7,951,643,0.43137391475541,0.196942877121295,0.371683208123294
"F11-169","C-P",34.029687,-119.701569,68.87847887,17.3,21.1,14,7.1,446,13,61.2,1676.4,4567,635,395,365,3.6,952,644,0.274605242096916,0.232030060236739,0.493364697666344
"F11-105","C-P",34.02829,-119.700766,17.06071798,17.4,21.1,14,7.1,448,13,61.2,1665.4,4574,631,397,365,3.7,952,644,0.328861521831482,0.174058506223543,0.497079971944975
"F10-15","C-P",34.030021,-119.698288,255.6144206,17.3,21.1,14,7.1,446,13,61.2,1678.6,4566,635,394,365,3.6,953,645,0.0484561226239056,0.301567124008734,0.649976753367361
